#ID Number,Date,t_start,t_end ,t_peak,duration,goes_class,CME,period_average,period_avg_plus_error,period_avg_neg_error,impulsive_period,impulsive_plus_error,impulsive_neg_error,decay_period,decay_plus_error,decay_neg_error,period_drift,period_drift_plus_error,period_drift_neg_error,pd_non_sig_flag
62,2014-11-04,07:59:00,09:16:53,08:38:41,4651,M2.6,1,28.7,0.1,-0.1,23.6,0.1,-0.1,33.8,0.2,-0.2,10.2,0.3,-0.3,0
63,2014-11-05,18:50:00,20:37:54,19:44:38,6444,M2.9,1,56.1,0.5,-0.5,30.3,0.1,-0.1,81.8,1.1,-1,51.4,1.1,-1,0
64,2014-11-06,01:29:00,01:48:54,01:39:21,1190,M3.2,0,19,0.2,-0.2,17.4,0.3,-0.3,20.7,0.4,-0.4,3.2,0.4,-0.4,1
65,2014-11-06,21:53:00,22:38:49,22:16:01,2731,M2.5,0,23.6,0.2,-0.2,18.3,0.1,-0.1,28.8,0.3,-0.3,10.5,0.3,-0.3,0
66,2014-11-07,10:13:00,10:30:56,10:22:15,1072,M1.0,0,17.1,0.2,-0.2,14.7,0.2,-0.2,19.5,0.4,-0.3,4.8,0.4,-0.4,0
67,2014-11-15,11:40:00,12:25:55,12:03:21,2743,M3.2,0,28.7,0.2,-0.2,25.9,0.2,-0.2,31.4,0.4,-0.4,5.5,0.4,-0.4,0
68,2014-12-17,04:25:00,05:16:55,04:50:06,3102,M8.7,1,64,1,-0.9,56.8,1.1,-1,71.2,1.7,-1.6,14.3,2,-1.9,0
69,2014-12-18,21:41:00,22:14:55,21:58:03,2026,M6.9,0,29,0.3,-0.3,22.8,0.3,-0.3,35.2,0.6,-0.6,12.4,0.7,-0.7,0
70,2014-12-20,00:11:00,00:44:55,00:28:00,2026,X1.8,1,21.3,0.3,-0.2,10.6,0.1,-0.1,31.9,0.5,-0.5,21.2,0.5,-0.5,0
71,2015-03-02,15:10:00,15:45:56,15:28:16,2148,M3.7,1,41.1,0.6,-0.6,48.9,1.1,-1.1,33.3,0.5,-0.5,-15.6,1.3,-1.2,0
72,2015-03-06,04:14:00,05:39:54,04:57:36,5132,M3.0,1,82.3,1.1,-1,65.8,0.9,-0.8,98.7,1.9,-1.9,32.9,2.1,-2,0
73,2015-03-09,14:22:00,14:43:57,14:33:45,1312,M4.5,0,11.9,0.1,-0.1,14.1,0.2,-0.2,9.8,0.1,-0.1,-4.4,0.2,-0.2,0
74,2015-03-09,23:29:00,00:16:54 ***,23:54:17,2861,M5.8,1,51.1,0.8,-0.8,36.3,0.5,-0.5,66.0,1.6,-1.5,29.7,1.6,-1.6,0
75,2015-03-11,16:11:00,16:32:54,16:21:38,1308,X2.1,1,22.3,0.4,-0.4,13.3,0.1,-0.1,31.3,0.8,-0.7,18.0,0.8,-0.7,0
76,2015-03-12,04:41:00,04:50:53,04:46:00,591,M3.2,0,11.4,0.2,-0.2,8.4,0.1,-0.1,14.3,0.4,-0.3,5.9,0.4,-0.4,0
77,2015-03-12,11:38:00,12:01:53,11:50:26,1427,M1.6,0,21.3,0.3,-0.3,15.9,0.2,-0.2,26.7,0.5,-0.5,10.8,0.5,-0.5,0
78,2015-03-12,12:09:00,12:18:53,12:14:23,591,M1.4,0,17.1,0.4,-0.4,21.1,0.8,-0.7,13.2,0.3,-0.3,-7.9,0.8,-0.8,0
79,2015-03-12,13:50:00,14:25:53,14:08:39,2144,M4.2,0,14.5,0.1,-0.1,13.1,0.1,-0.1,16.0,0.1,-0.1,2.9,0.1,-0.1,1
80,2015-03-13,03:47:00,04:14:54,04:01:49,1667,M1.2,0,33.7,0.6,-0.6,22.4,0.3,-0.3,44.9,1.2,-1.2,22.6,1.3,-1.2,0
81,2015-03-16,10:39:00,11:16:53,10:57:59,2262,M1.6,0,27,0.3,-0.3,18.3,0.1,-0.1,35.6,0.6,-0.6,17.3,0.6,-0.6,0
82,2015-03-17,22:49:00,23:59:55,23:34:48,4235,M1.0,1,14.8,0.1,-0.1,8.7,0,0,20.9,0.1,-0.1,12.1,0.1,-0.1,0
83,2015-04-21,07:08:00,07:33:54,07:20:48,1549,M1.0,0,19.1,0.2,-0.2,15.7,0.2,-0.2,22.5,0.3,-0.3,6.8,0.4,-0.4,0
84,2015-06-21,02:04:00,03:03:32,02:36:26,3534,M2.7,1,86.9,1.6,-1.5,76.4,1.7,-1.6,97.4,2.8,-2.6,21.0,3.2,-3.1,0
